"Object_type","Activity_type","facility","host","user.agent","created_timestamp","time_dif","uri","message","webError","user","user_name","type","severity","id","File_Size","seq_numbers"
"File","Preview","Box","4.59.216.255","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:26.0) Gecko/20100101 Firefox/30.0","2014-06-02T09:07:37",457,NA,"normal.1",NA,"LargeDL.7.LSxZ.1.25@ranjani.com","LargeDL 7 LSxZ 1.25","elastica_logs","informational","generated_data_0001",0,NA
"File","Preview","Box","4.59.216.255","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:26.0) Gecko/20100101 Firefox/30.0","2014-06-02T09:08:50",73,NA,"normal.2",NA,"LargeDL.7.LSxZ.1.25@ranjani.com","LargeDL 7 LSxZ 1.25","elastica_logs","informational","generated_data_0002",0,NA
"File","Download","Box","4.59.216.255","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:26.0) Gecko/20100101 Firefox/30.0","2014-06-02T09:11:06",136,NA,"normal.3.seq1",NA,"LargeDL.7.LSxZ.1.25@ranjani.com","LargeDL 7 LSxZ 1.25","elastica_logs","informational","generated_data_0003",6559996,1
"File","Download","Box","4.59.216.255","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:26.0) Gecko/20100101 Firefox/30.0","2014-06-02T09:23:42",756,NA,"normal.4.seq1",NA,"LargeDL.7.LSxZ.1.25@ranjani.com","LargeDL 7 LSxZ 1.25","elastica_logs","informational","generated_data_0004",5684980,1
"Folder","View","Box","4.59.216.255","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:26.0) Gecko/20100101 Firefox/30.0","2014-06-02T09:25:15",93,NA,"normal.5",NA,"LargeDL.7.LSxZ.1.25@ranjani.com","LargeDL 7 LSxZ 1.25","elastica_logs","informational","generated_data_0005",0,NA
"Folder","View","Box","4.59.216.255","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:26.0) Gecko/20100101 Firefox/30.0","2014-06-02T09:27:11",116,NA,"normal.6",NA,"LargeDL.7.LSxZ.1.25@ranjani.com","LargeDL 7 LSxZ 1.25","elastica_logs","informational","generated_data_0006",0,NA
"Folder","View","Box","4.59.216.255","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:26.0) Gecko/20100101 Firefox/30.0","2014-06-02T09:28:50",99,NA,"normal.7",NA,"LargeDL.7.LSxZ.1.25@ranjani.com","LargeDL 7 LSxZ 1.25","elastica_logs","informational","generated_data_0007",0,NA
"Folder","View","Box","4.59.216.255","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:26.0) Gecko/20100101 Firefox/30.0","2014-06-02T09:31:43",173,NA,"normal.8",NA,"LargeDL.7.LSxZ.1.25@ranjani.com","LargeDL 7 LSxZ 1.25","elastica_logs","informational","generated_data_0008",0,NA
"Document","Create","GoogleDrive","4.59.216.255","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:26.0) Gecko/20100101 Firefox/30.0","2014-06-02T09:34:08",145,NA,"normal.9",NA,"LargeDL.7.LSxZ.1.25@ranjani.com","LargeDL 7 LSxZ 1.25","elastica_logs","informational","generated_data_0009",0,NA
"Document","Rename","GoogleDrive","4.59.216.255","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:26.0) Gecko/20100101 Firefox/30.0","2014-06-02T09:34:45",37,NA,"normal.10",NA,"LargeDL.7.LSxZ.1.25@ranjani.com","LargeDL 7 LSxZ 1.25","elastica_logs","informational","generated_data_0010",0,NA
